Employee_ID,Date,Department,Role,Work_Mode,Login_Time,Logout_Time,Break_Duration_Min,Tasks_Completed,Expected_Tasks
E001,01-01-2025,IT,Developer,Office,09:05,18:10,65,21,25
E002,01-01-2025,HR,Recruiter,Remote,09:40,17:20,50,16,20
E003,01-01-2025,Sales,Executive,Office,10:00,19:30,55,24,26
E004,01-01-2025,IT,Tester,Remote,08:50,17:00,45,19,22
E005,01-01-2025,Finance,Analyst,Office,09:20,18:45,70,20,24
,,,,,,,,,
E001,02-01-2025,IT,Developer,Office,09:00,18:30,60,23,25
E002,02-01-2025,HR,Recruiter,Remote,09:35,17:40,45,17,20
E003,02-01-2025,Sales,Executive,Office,10:15,20:00,60,22,26
E004,02-01-2025,IT,Tester,Remote,08:45,17:20,40,21,22
E005,02-01-2025,Finance,Analyst,Office,09:30,19:00,75,19,24
,,,,,,,,,
E001,03-01-2025,IT,Developer,Office,09:10,19:15,70,24,25
E002,03-01-2025,HR,Recruiter,Remote,09:50,17:10,55,15,20
E003,03-01-2025,Sales,Executive,Office,10:00,20:30,65,21,26
E004,03-01-2025,IT,Tester,Remote,09:00,17:30,45,22,22
E005,03-01-2025,Finance,Analyst,Office,09:25,18:50,60,23,24
,,,,,,,,,
E006,01-01-2025,Marketing,Executive,Remote,10:00,18:00,50,18,22
E006,02-01-2025,Marketing,Executive,Remote,10:10,18:30,55,20,22
E006,03-01-2025,Marketing,Executive,Remote,10:00,19:00,60,19,22
